Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,0,659,1.0,1,24515,30100,,,,,,,,,,,,,,,,32312.0,1/6/14,2014,,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,0,802,3.0,1,29418,36120,,,,,,,,,,,,,,,,32312.0,1/6/14,2014,,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,1,709,2.0,1,26298,30100,2.0,26298.0,34400.0,,,,,,,,,,,,,32312.0,1/6/14,2014,,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,1,863,12.0,1,31578,36120,2.0,31578.0,41280.0,,,,,,,,,,,,,32312.0,1/6/14,2014,,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,2,1044,23.0,2,37852,41280,3.0,37852.0,46440.0,4.0,37852.0,51540.0,,,,,,,,,,32312.0,1/6/14,2014,,
82,Rufus King Apartments,148-15,90 AVE,4,New Construction,HPD,3,1199,5.0,3,43749,46440,4.0,43749.0,51540.0,5.0,43749.0,55680.0,6.0,43749.0,59820.0,,,,,,,32312.0,1/6/14,2014,,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,500,1.0,1,19406,29400,,,,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,1012,3.0,1,36960,52920,,,,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,0,1250,3.0,1,45120,94080,,,,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,516,3.0,1,20023,23520,2.0,20023.0,26880.0,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,640,11.0,1,24275,29400,2.0,24275.0,33600.0,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,1294,28.0,1,46698,52920,2.0,46698.0,60480.0,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,1,1450,30.0,1,52046,107520,2.0,52046.0,107520.0,,,,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,774,5.0,2,28938,33600,3.0,28938.0,37800.0,4.0,28938.0,41950.0,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,1565,6.0,2,56058,60480,3.0,56058.0,68040.0,4.0,56058.0,75510.0,,,,,,,,,,38256.0,1/24/14,2014,2/19/15,
83,Norman Towers,90-14,161 STREET,4,New Construction,HDC,2,1700,10.0,1,60686,107520,2.0,60686.0,120960.0,3.0,60686.0,134240.0,4.0,60686.0,134240.0,,,,,,,38256.0,1/24/14,2014,2/19/15,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,1,851,4.0,1,30892,35280,2.0,30892.0,40320.0,,,,,,,,,,,,,32312.0,1/30/14,2014,,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,2,1032,6.0,2,37166,40320,3.0,37166.0,45360.0,4.0,37166.0,50340.0,,,,,,,,,,32312.0,1/30/14,2014,,
84,2017 Morris Avenue,2017,MORRIS AVENUE,2,New Construction,HPD,3,1186,9.0,3,42789,45360,4.0,42789.0,50340.0,5.0,42789.0,54520.0,6.0,42789.0,58440.0,,,,,,,32312.0,1/30/14,2014,,
