LTTRY_PROJ_NO,TOTAL_HH_INCOME,HH_SIZE,TOTAL_HH_INCOME_count,HH_SIZE_count,TOTAL_HH_INCOME_max,HH_SIZE_max,TOTAL_HH_INCOME_min,HH_SIZE_min
82,31932.320074305033,1.9937175043327557,30146,32312,34892000.0,10,0.0,1
83,31405.403212187313,1.9226787954830615,35742,38256,34892000.0,10,0.0,1
84,32572.578337918832,2.097631543533845,14175,14862,34892000.0,10,0.0,1
85,31311.333294656342,2.020966060465655,32319,34532,7800000.0,10,0.0,1
86,32374.040752694236,1.9472921474961087,17909,18631,2052000.0,10,0.0,1
87,32173.44112798036,1.8721893881863505,28981,30287,2052000.0,10,0.0,1
88,29858.013015568667,1.913849851104958,35456,38282,2392000.0,10,0.0,1
89,31497.807946114342,1.9315070909475764,51999,56692,34892000.0,10,0.0,1
90,30372.15172606157,1.994040778104116,21691,23493,1420320.0,10,0.0,1
91,30814.742422055686,1.998508471416253,39772,42909,34892000.0,10,0.0,1
92,31958.72575022208,1.9588908280007757,24766,25785,7800000.0,10,0.0,1
93,32415.977656161867,2.0885931100939534,15961,16604,34892000.0,10,0.0,1
94,32786.76628977301,1.8598381833016047,55188,58832,34892000.0,12,0.0,1
95,31850.24269293098,1.8624520773022455,48126,51124,34892000.0,12,0.0,1
96,31891.174296803467,1.8143146393643033,49211,52352,34892000.0,12,0.0,1
97,31948.369302086427,1.9300891866343348,23341,24331,34892000.0,12,0.0,1
98,35365.32027987609,1.8288258133618958,28727,29876,28600000.0,12,0.0,1
99,32526.51630253033,1.9766269968907473,18061,18654,2392000.0,12,0.0,1
100,32328.549392742356,2.0449227587098444,14936,15471,28600000.0,8,0.0,1
102,30646.277624062575,2.0440209914913128,18801,19627,7800000.0,12,0.0,1
105,32520.16340334607,1.9515528342381012,30423,31684,31841680.0,12,0.0,1
106,32351.320574856567,1.9999482044198895,55092,57920,31841680.0,12,0.0,1
107,29546.972587350305,1.9732489356090577,49456,53082,31841680.0,12,0.0,1
108,30732.169961306772,1.9665912096856242,73398,78632,31841680.0,12,0.0,1
109,31380.92522152486,1.9062006728423604,59745,62719,31841680.0,12,0.0,1
110,31410.25339524907,1.9318799751040063,58305,61054,31841680.0,12,0.0,1
111,35973.829730742735,1.9799408124831854,86720,92925,28600000.0,12,0.0,0
112,31728.709497159234,2.099185724185724,22353,23088,28600000.0,12,0.0,1
113,31742.971754867096,2.1000609066388236,22241,22986,28600000.0,12,0.0,1
114,31052.23319534441,2.0698101898101897,24229,25025,28600000.0,12,0.0,1
115,32406.52102420137,1.8642514185945003,76235,80185,7800000.0,10,0.0,1
116,29924.24556633562,2.062477526069759,21542,22248,1040000.0,12,0.0,1
117,30671.133935775288,1.8981049670589978,26127,27018,1676000.0,12,0.0,1
118,31615.183056963026,2.098757946210269,48944,51125,28600000.0,10,0.0,1
119,32274.639983129735,1.8679709811902965,29638,30463,34892000.0,10,0.0,1
120,30507.959043949988,2.1120292250152213,43868,45988,7800000.0,10,0.0,1
121,33244.83163166923,1.932599439194101,28002,28887,7800000.0,10,0.0,1
122,30924.775924530746,1.8833666817272317,29999,30986,1676000.0,10,0.0,1
123,34857.68799897377,1.9449959356602704,38980,40597,34892000.0,10,0.0,1
124,32400.24246314837,2.0930900298462354,50744,52938,28600000.0,15,0.0,1
125,30258.68601347235,2.037189292543021,67249,73220,8320000.0,10,0.0,1
126,29942.75151165322,2.0616253713147548,54834,58239,7800000.0,15,0.0,1
131,33078.673730552146,2.02187708750835,23203,23952,28600000.0,10,0.0,1
132,31065.529634624476,1.9666594767818075,31365,32453,2184000.0,10,0.0,1
133,33450.642673864175,1.89126811129632,81975,85789,7800000.0,15,0.0,1
134,31277.9042810529,1.942888028105576,32179,33303,1632000.0,10,0.0,1
135,31883.10696694913,2.0149203234428392,28562,29557,3521622.0,10,0.0,1
136,33641.472917129744,1.8973973747825497,84590,88526,7800000.0,15,0.0,1
137,34755.82604187084,1.8787161662475964,52017,54088,34892000.0,15,0.0,1
138,30045.05410223069,1.7358268073655247,63073,66146,7800000.0,12,0.0,1
139,31584.639364467144,1.8657597939115955,30856,31831,8656863.08,10,0.0,1
140,31410.8736199373,1.9210969094075627,65084,67754,7800000.0,10,0.0,1
141,31245.771476472666,2.118979608029834,48433,50412,7800000.0,12,0.0,1
142,32113.860367389854,1.874357449746816,98914,104272,34892000.0,12,0.0,1
144,31327.30707434911,1.8599120066313843,30424,31366,7800000.0,10,0.0,1
145,30962.41545352704,2.071146916853627,28565,29418,7800000.0,12,0.0,1
146,32288.862564491665,1.8929087994996285,49425,51162,7800000.0,19,0.0,1
147,30908.605222167953,2.074267468069121,51245,53240,7800000.0,10,0.0,1
148,31673.503352019256,1.8755092157365467,34072,35103,7800000.0,10,0.0,1
149,32502.85797210054,1.89473384814483,67385,70317,7800000.0,10,0.0,1
